Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills
.NET Developer,Fresher,Entry-Level,0-1,0,.NET Core; .NET Core basics; .NET Core fundamentals; .NET Framework; .NET Framework basics; ASP.NET; ASP.NET MVC; ASP.NET basics; C#; CSS; Entity Framework basics; Git; HTML; JavaScript basics; LINQ; MVC; NUnit basics; Razor; SQL Server; Unit Testing basics; VB.NET; VB.NET basics; Visual Studio
.NET Developer,Experienced,Mid-Level,3+,3,.NET Core; ASP.NET Core; ASP.NET MVC; Azure; Azure DevOps; C#; Design Patterns; Docker; Entity Framework; Moq; NoSQL; REST APIs; SOLID Principles; SQL Server; SignalR; Testing with NUnit; Testing with xUnit; WebAPI; gRPC
.NET Developer,Experienced,Senior-Level,5+,5,.NET Core; ASP.NET Core; ASP.NET MVC; Angular; Azure; Azure DevOps; Blazor; C#; CI/CD; Dapper; Docker; Entity Framework; F#; Kubernetes; Microservices; REST APIs; SOLID Principles; SQL Server
AI Engineer,Entry-Level,Entry-Level,0–1 year,0,C++; Classification; Clustering; Java; Keras; MongoDB; NLTK; Neural Networks; NoSQL; NumPy; OpenCV; Pandas; PyTorch; Python; R; Regression; SQL; Scikit-learn; Supervised/Unsupervised Learning; TensorFlow
AI Engineer,Mid-Senior Level,Mid-Level,3–6 years,3,AWS; Apache Spark; Azure; C++; CI/CD; Computer Vision; Deep Learning; Docker; GCP; Generative AI; Hadoop; Hugging Face Transformers; Java; Kubernetes; LIME; LLMs; MLOps; Model Monitoring; NLP; ONNX; PyTorch; Python; R; Reinforcement Learning; SHAP; Scikit-learn; Spark; TensorFlow
AI Engineer,Senior-Level,Senior-Level,5+ years,5,AWS; Azure; C++; CI/CD; Computer Vision; Deep Learning; Docker; GCP; Generative AI; Hadoop; Hugging Face; Hugging Face Transformers; Java; Keras; Kubernetes; LIME; LLMs; NLP; ONNX; PyTorch; Python; R; Reinforcement Learning; SHAP; Scikit-learn; Spark; TensorFlow
AI Prompt Engineer,Fresher,Entry-Level,0-1,0,Collaboration; Communication; Creativity; Critical thinking; GPT model exposure; GPT models intro; Hugging Face Transformers basics; Hugging Face basics; Intro NLP; Intro to NLP; Introductory NLP; JavaScript basics; NLP basics; NLP introduction; NLTK basics; OpenAI GPT basics; OpenAI GPT intro; OpenAI GPT model basics; OpenAI GPT models exposure; OpenAI GPT models intro; Problem-solving; Prompt writing; Prompt writing fundamentals; PyTorch basics; Python basics; SpaCy basics; Teamwork; TensorFlow basics
AI Prompt Engineer,Experienced,Mid-Level,3+,3,"API integration (OpenAI/Azure); Advanced NLP; Advanced Python; Advanced prompt design (chain-of-thought, iterative optimization); Azure Cognitive Services; Chain-of-thought prompting; Chain-of-thought prompts; Collaboration; Communication; Creativity; Critical thinking; Data analysis; Data analytics; Data visualization; Deep NLP expertise; Hugging Face; Hugging Face Transformers; Iterative prompt design; Iterative prompt optimization; JavaScript; JavaScript advanced; LLM tuning; Leadership; Machine learning analysis; Machine learning for prompt tuning; NLP frameworks; NLP techniques; OpenAI API; Problem-solving; Prompt chain-of-thought; Prompt design optimization; Prompt iterative optimization; Prompt optimization techniques; PyTorch; Python; Python advanced; TensorFlow"
AI/ML Engineer,Senior,Senior-Level,6+,6,"Advanced ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning; Big data: Hadoop, Spark; Feature engineering, ETL pipelines; Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced), ONNX; Java; MLOps: CI/CD pipelines, monitoring, cloud deployment (AWS/GCP/Azure); Python; R; SQL; Scala"
AR/VR Developer,Fresher,Entry-Level,0-1,0,3D modeling basics; 3D modeling fundamentals; ARCore basics; ARKit basics; Blender basics; Blender/Maya basics; C# basics; C++ basics; Communication; Creativity; JavaScript basics; Maya basics; Motion tracking basics; Problem-solving; Spatial computing basics; Teamwork; UI/UX fundamentals; Unity basics; Unreal Engine basics
AR/VR Developer,Experienced,Mid-Level,3+,3,3D modeling/animation advanced; ARCore advanced; ARKit advanced; C# advanced; C++ advanced; Cross-platform development; Hardware integration; JavaScript advanced; Leadership; Performance optimization; Python basics; Spatial computing; UI/UX design advanced; Unity advanced; Unreal Engine advanced; Vuforia
AR/VR Developer,Experienced,Senior-Level,5+,5,"3D modeling and animation expert; 3D modeling and graphics; 3D modeling/animation advanced; 3D modeling/animation expert; ARKit, ARCore, Vuforia; Advanced 3D graphics; Advanced 3D modeling and animation; Advanced 3D modeling/animation; C++, C# advanced; C++, C# expert; Collaboration; Cross-platform deployment; Cross-platform development; Cross-platform optimization; Gesture and motion tracking; Gesture/motion tracking; Hardware integration; JavaScript advanced; Leadership; Machine learning basics; Performance optimization; Performance tuning; Project coordination; Project management; Python basics; Spatial computing; Team collaboration; Team management; UI/UX advanced; UI/UX design advanced; UI/UX design expert; UI/UX expert; Unity, Unreal Engine advanced; Unity, Unreal Engine expert"
Android App Developer,Fresher,Entry-Level,0,0,Android Studio; Git; Java; Kotlin; MVC; REST API; REST APIs; SQLite; UI/UX Basics; XML
Android Architect,Experienced,Senior-Level,5+ years,5,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing
Android Developer,Fresher,Entry-Level,0,0,Android Studio; Firebase; Git; Java; Jetpack; Kotlin; MVC; MVVM; Material Design; REST API; REST APIs; Room; SQLite; UI/UX Basics; UI/UX Design; Unit Testing; XML
Android Developer,Experienced,Mid-Level,3-4 years,3,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Kotlin; MVVM; REST APIs; Room; Unit Testing
Android Developer,Experienced,Senior-Level,5+ years,5,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Room; Unit Testing
Android Engineer,Fresher,Entry-Level,0,0,Android Studio; Git; Java; Kotlin; REST APIs; SQLite; UI/UX Basics; XML
Android Engineer,Experienced,Mid-Level,4-5 years,4,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing
Android Engineer,Experienced,Senior-Level,5+ years,5,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing
Android Solutions Architect,Experienced,Senior-Level,5+ years,5,Android Studio; CI/CD; Clean Architecture; Dagger; Firebase; Java; Jetpack; Kotlin; MVVM; Performance Optimization; Room; Unit Testing
Android Solutions Engineer,Experienced,Mid-Level,3-5 years,3,Android Studio; CI/CD; Clean Architecture; Firebase; Java; Jetpack; Kotlin; MVVM; REST APIs; Room; Unit Testing
Associate Cloud Architect,Fresher,Entry-Level,0-1,0,AWS basics; Azure basics; Cloud database basics; Docker; Linux administration
Automation Specialist,Experienced,Mid-Level,4-6,4,Ansible; Bash; Linux; Python; VMware
BI Analyst,Entry-Level,Entry-Level,0–1 year,0,Basic data analysis; Basic statistical analysis; Basic statistics; Business acumen; Business metrics awareness; Business process knowledge; Data analysis; ETL awareness; ETL knowledge; ETL process awareness; ETL process knowledge; ETL process understanding; ETL understanding; Excel; Excel charts; Excel charts and dashboards; Excel charts and pivot tables; Excel dashboards; Excel visualization; KPI knowledge; KPI understanding; MySQL; MySQL basics; MySQL/PostgreSQL; PostgreSQL; PostgreSQL basics; Power BI; SQL; SQL querying; Statistics; Tableau
BI Analyst,Senior-Level,Mid-Level,4–8 years,4,Advanced analytics; Data governance; Data modeling; ETL pipelines; Forecasting; KPI development; Looker; Power BI; Predictive modeling; QlikView; Redshift; SQL; Snowflake; Tableau
BI Analyst,Senior-Level,Senior-Level,5–9 years,5,Advanced BI modeling; Advanced Tableau; Complex SQL queries; Data integration; Data modeling; ETL pipeline design; ETL pipeline management; ETL pipelines; Forecasting; KPI and performance metrics development; KPI definition; KPI development; KPI monitoring; KPI strategy; Looker; Power BI; Predictive analytics; Predictive modeling; QlikView; Redshift; SQL; SQL & Database management; SQL optimization; SQL queries; Snowflake; Tableau
Backend Developer,Fresher,Entry-Level,0–1 year,0,Agile; CI/CD basics; Cloud Basics; Django; Docker; Express.js; Flask; Git; GraphQL basics; Java; MongoDB; MySQL; Node.js; PostgreSQL; Python; RESTful API; Redis
Backend Developer,Experienced,Mid-Level,3–5 years,3,AWS; Agile; Azure; CI/CD; Cloud; Cloud Platforms; Django; Docker; Express.js; Flask; Git; Go; GraphQL; Java; Kubernetes; Microservices; MongoDB; MySQL; Node.js; PostgreSQL; Python; RESTful API; Redis; Spring Boot; gRPC
Backend Developer,Experienced,Senior-Level,5+ years,5,AWS; Agile; Azure; CI/CD; Cloud; Django; Docker; Express.js; Flask; GCP; Git; Go; GraphQL; HIPAA compliance; Java; Kubernetes; Microservices; MongoDB; MySQL; Node.js; PostgreSQL; Python; RESTful API; Redis; Security; Spring Boot; gRPC
Big Data Specialist,Fresher,Entry-Level,0-1,0,"Analytical thinking; Apache NiFi; Apache NiFi basics; Apache Spark basics; Curiosity; ETL basics; ETL concepts; Hadoop (HDFS, Hive, MapReduce); Hadoop (HDFS, MapReduce, Hive); Hadoop (HDFS, MapReduce, Hive, Pig); Hadoop basics; Hadoop ecosystem basics; Java basics; Linux/Unix basics; NoSQL basics; NoSQL basics (MongoDB, HBase); Problem-solving; Python basics; SQL basics; Scala basics; Spark basics; Talend; Talend basics; Teamwork"
Big Data Specialist,Experienced,Mid-Level,3+,3,AWS; AWS big data services; Azure; Azure big data services; BigQuery; Collaboration; Data governance; Flink; GCP; GCP big data services; Hadoop; Hadoop ecosystem; Java; Java advanced; Kafka; Leadership; MLlib; MLlib basics; Power BI; Python; Python advanced; QlikView; Redshift; Scala; Scala advanced; Snowflake; Spark Streaming; Tableau; Team leadership; TensorFlow basics
Big Data Specialist,Experienced,Senior-Level,5+,5,AWS; Azure; BigQuery; Collaboration; Data governance; Flink; GCP; Hadoop; Java; Kafka; Leadership; MLlib; Power BI; Python; QlikView; Redshift; Scala; Snowflake; Spark Streaming; Tableau; TensorFlow basics
Blockchain Developer,Fresher,Entry-Level,0-1,0,Adaptability; C++ basics; Collaboration; Communication; Corda; Corda basics; Cryptography basics; Cryptography fundamentals; DApps basics; DApps fundamentals; Ethereum; Ethereum basics; Ethereum fundamentals; Git; Git basics; Hyperledger; Hyperledger basics; Java basics; Problem-solving; Python basics; Remix IDE; Remix IDE basics; Smart contract development; Smart contract development and testing; Smart contract implementation; Smart contract testing; Smart contracts; Smart contracts basics; Solidity basics; Teamwork; Truffle; Truffle basics
Blockchain Developer,Experienced,Mid-Level,3+,3,Cloud integration; Collaboration; Corda; Cross-chain development; Cross-chain interoperability; Cryptography advanced; Ethereum; Gas optimization; Git advanced; Hyperledger; Hyperledger Fabric; Java advanced; Leadership; Mentoring; Problem-solving; Python advanced; Remix IDE advanced; Rust basics; Scalable DApps; Smart contract optimization; Smart contract security audits; Solidity advanced; Truffle advanced
Blockchain Developer,Experienced,Senior-Level,5+,5,Cloud integration; Corda; Cross-chain; Cross-chain interoperability; Cross-chain solutions; Cryptography; Cryptography advanced; Cryptography expert; Ethereum; Ethereum multi-chain; Gas optimization; Hyperledger; Hyperledger Fabric; Hyperledger advanced; Innovation; Innovation management; Innovation strategies; Java advanced; Leadership; Mentoring; Mentorship; Project management; Python advanced; Rust basics; Scalable DApps; Smart contract optimization; Smart contract optimization and security audits; Smart contract security audits; Solidity advanced; Stakeholder collaboration; Team collaboration; Team management
Business Analyst,Fresher,Entry-Level,0-1,0,Advanced data analysis; Agile fundamentals; Agile methodologies; Agile methodology; Agile methodology awareness; Agile project management; Basic data analysis; Business process mapping; Business process modeling; Collaboration; Communication; Critical thinking; Data analysis; Data analysis basics; Data interpretation; Data storytelling; Documentation; Excel; Power BI; Power BI basics; Problem-solving; Requirement documentation; Requirement gathering; Research; Research skills; SQL; SQL basics; Stakeholder communication; Tableau; Tableau basics; Team collaboration
Business Analyst,Experienced,Senior-Level,5-8,5,AI-driven analytics; AI-enhanced analytics; AI-powered analytics; Advanced SQL; Advanced analytics; Advanced data analysis; Agile leadership; Agile methodology; Agile project management; Business Intelligence; Business intelligence; Business process optimization; Data analysis; Excel; Power BI; Requirement elicitation; Requirement gathering; Requirement management; SAS; SQL; Stakeholder engagement; Stakeholder management; Strategic planning; Tableau
Cloud Architect,Fresher,Entry-Level,0,0,AWS fundamentals; Azure basics; Bash scripting; Cloud security fundamentals; Docker introduction; GCP basics; Kubernetes basics; Python basics
Cloud Architect,Experienced,Senior-Level,7,6,AWS; AWS multi-cloud; Ansible; Azure; Azure networking; CI/CD; CI/CD pipelines; Cloud networking; Cloud strategy; CloudFormation; DevOps automation; Docker Swarm; Hybrid cloud; Kubernetes; Kubernetes orchestration; Leadership; Multi-cloud architecture; Python; SDN; Security integration; Serverless computing; Terraform
Cloud Automation Engineer,Experienced,Senior-Level,5,5,AWS; Ansible; CloudFormation; Kubernetes; Python; Terraform
Cloud Cost Optimization Architect,Experienced,Senior-Level,7,7,AWS; Azure; Cloud cost management; Python; Terraform
Cloud Engineer,Fresher,Entry-Level,0-1,0,"AWS; AWS CodePipeline; AWS basics; Azure; Azure basics; Bash; Basic networking; CI/CD introduction; Cloud networking; Cloud storage basics; CloudFormation basics; CloudWatch; Docker basics; Docker/Kubernetes; Docker/Kubernetes fundamentals; GCP; GCP basics; Git; Git/GitHub; Git/GitHub/GitLab; GitHub Actions; IAM basics; IAM fundamentals; Jenkins; Jenkins/GitHub Actions; Kubernetes basics; Kubernetes fundamentals; Monitoring fundamentals; Monitoring: CloudWatch, Azure Monitor; Monitoring: CloudWatch, Prometheus; Monitoring: CloudWatch, Prometheus, Azure Monitor; Prometheus; Python; Python scripting; Python/Bash scripting; Shell scripting; Terraform basics; Terraform/CloudFormation awareness; Terraform/CloudFormation basics; Terraform/CloudFormation knowledge; VPC; VPN"
Cloud Engineer,Experienced,Mid-Level,3,3,"AWS; AWS advanced; Ansible; Azure; Azure advanced; Bash; CI/CD pipelines; CircleCI; Cloud Security: IAM, RBAC, encryption, compliance; Cloud security compliance; CloudFormation; Database & Storage: SQL, NoSQL, S3, Azure Blob Storage; Docker Swarm; GCP advanced; GitLab CI; Helm; Jenkins; Kubernetes; Monitoring & Logging: CloudWatch, Prometheus, ELK; Networking: VPC, load balancers, DNS, firewall rules; PowerShell; Python; Python scripting; Terraform"
Cloud Engineer,Senior-Level,Senior-Level,5–9 years,5,"AWS; AWS advanced; Ansible; Azure; Azure advanced; Bash; CI/CD; CI/CD: Jenkins, GitLab CI, CircleCI; Cloud Security; CloudFormation; Docker Swarm; Docker/Kubernetes; GCP; GCP advanced; Helm; Kubernetes; Monitoring; Monitoring/Logging: CloudWatch, Prometheus, ELK; Monitoring: CloudWatch, Prometheus, ELK; Networking; Networking & Storage; PowerShell; Python; Python/Bash/PowerShell; SQL, NoSQL, S3, Azure Blob; Scripting: Python, Bash, PowerShell; Storage; Terraform; Terraform/CloudFormation/Ansible"
Cloud Infrastructure Security Architect,Experienced,Senior-Level,9,9,AWS; Azure; Cloud security; Compliance; Encryption; IAM; Kubernetes; Terraform
Cloud Migration Specialist,Experienced,Mid-Level,4,4,AWS; Azure; Cloud migration; Database migration; GCP; Python; Terraform
Cloud Network Engineer,Experienced,Mid-Level,3-5,3,AWS Networking; Automation with Ansible; Azure Networking; Load Balancers; VPC
Cloud Security Analyst,Experienced,Mid-Level,4-7,4,AWS Security; Azure Security; Firewall Management; GCP Security; Incident Response; SIEM Tools
Cloud Security Architect,Experienced,Senior-Level,6,6,AWS; Azure; Cloud security; Compliance frameworks; Encryption; IAM; Python scripting
Cloud Solutions Architect,Experienced,Senior-Level,10,10,Cloud cost optimization; Microservices design; Multi-cloud strategy; Python; Serverless architecture; Stakeholder management; Terraform
Cloud Solutions Associate,Fresher,Entry-Level,0-1,0,Cloud storage basics; Docker; Java basics; Linux administration; Networking fundamentals; Terraform basics
Content Writer,Fresher,Entry-Level,0-2,0,AI content tools; AI content tools awareness; AI tool awareness; AI tools exposure; AI writing tool exposure; AI writing tools awareness; AI-assisted content creation; AI-assisted content tools; Adaptable tone and style; Adaptation of tone and style; Advanced writing and editing; Advanced writing skills; Basic SEO; Basic SEO knowledge; Basic writing and grammar; Blog and article writing; CMS basics; CMS familiarity; CMS proficiency; CMS tools; Clarity in writing; Collaboration; Collaboration with marketing teams; Communication skills; Content creation; Content formatting; Content research; Content strategy support; Creativity; Digital marketing awareness; Digital marketing basics; Digital marketing knowledge; Editing and proofreading; Fact-checking; Grammar and punctuation; Keyword usage; Multi-format content creation; Proofreading; Research; Research and fact-checking; Research skills; SEO basics; SEO fundamentals; SEO optimization; Social media content; Time management; Tone and style adaptation; WordPress basics; WordPress or CMS proficiency; Writing and grammar; Writing clarity; Writing clarity and grammar
Content Writer,Mid-Level,Mid-Level,3-5,3,"AI content tools; Advanced writing and editing; Analytics basics; CMS and AI tools; CMS tools; Collaboration; Collaboration and teamwork; Content optimization; Content strategy development; Content strategy planning; Digital marketing tools (GA, SEMrush); Fact-checking and research; Multi-format content creation; Multi-format content creation (blogs, social media, video scripts); Research and fact-checking; SEO keyword research; Time management"
Content Writer,Experienced,Senior-Level,5-8,5,"AI-assisted content creation; AI-assisted content optimization; AI-assisted writing; Advanced SEO; Advanced SEO and analytics; Advanced SEO and keyword optimization; Advanced SEO skills; Advanced SEO techniques; Advanced content strategy; Advanced writing and editing; Analytics and KPI tracking; Analytics and performance measurement; Brand voice consistency; CMS and AI writing tools; Collaboration and mentoring; Collaboration and team management; Collaboration with cross-functional teams; Collaboration with marketing and design teams; Collaboration with teams; Comprehensive content strategy; Content calendar management; Content marketing; Content strategy; Content strategy development; Content strategy leadership; Cross-functional collaboration; Digital marketing tools; Digital marketing tools (GA, SEMrush, HubSpot); Digital marketing tools (GA4, SEMrush, HubSpot); Digital marketing tools (Google Analytics, SEMrush); Digital marketing tools (Google Analytics, SEMrush, HubSpot); Digital marketing tools proficiency; Editing and fact-checking; Editing and proofreading; Fact-checking and research; KPI tracking; Multi-format content creation; Multi-format content creation (blogs, whitepapers, social media, scripts); Performance tracking; Performance tracking and KPI analysis; Project management; Project management for content initiatives; SEO and keyword optimization; SEO and keyword research; SEO optimization and backlinking"
Copywriter,Fresher,Entry-Level,0-1,0,"AI writing tool awareness; AI writing tools; AI writing tools awareness; AI-assisted content creation; AI-assisted content tools; AI-assisted writing tools; Adaptable writing style; Advanced copywriting; Basic SEO; Basic SEO knowledge; Basic SEO practices; Brand voice consistency; CMS basics (WordPress, HubSpot); CMS familiarity; CMS proficiency; CMS usage; Clear and persuasive writing; Collaboration; Collaboration with marketing teams; Communication; Content adaptation for brand voice; Content editing and proofreading; Content research; Content research and accuracy; Creativity; Creativity and storytelling; Digital marketing channel familiarity; Digital marketing familiarity; Digital marketing tools; Editing and proofreading; Email and social media familiarity; Familiarity with digital marketing channels; Grammar and punctuation; Grammar and punctuation mastery; Persuasive copywriting; Persuasive writing; Proofreading and editing; Research and accuracy; Research and fact-checking; SEO basics; SEO optimization; Storytelling; Storytelling and creativity; Strategic copywriting; Team collaboration; Time management; Tone and style adaptation"
Copywriter,Mid-Level,Mid-Level,3-5,3,AI-assisted writing tools; Advanced SEO; Advanced copywriting; Brand voice alignment; Brand voice consistency; CMS and AI tools; CMS and AI tools proficiency; CMS proficiency; Collaboration; Collaboration and communication; Content research; Content research and accuracy; Creativity; Digital marketing expertise; Digital marketing knowledge; Editing and proofreading; SEO and keyword optimization; SEO optimization; Storytelling; Strategic copywriting; Time management
Copywriter,Experienced,Senior-Level,5-8,5,AI content tools; AI-assisted content creation; AI-assisted content optimization; AI-assisted content tools; AI-assisted writing; AI-assisted writing tools; Advanced SEO; Advanced SEO and analytics; Advanced copywriting; Advanced copywriting and editing; Analytics and KPI tracking; Brand consistency; Brand messaging; Brand messaging and consistency; Brand voice alignment; Brand voice consistency; Collaboration and leadership; Content strategy; Digital marketing channels and tools; Digital marketing integration; Digital marketing strategy; Digital marketing tools; Editing and proofreading; KPI analysis; Leadership; Leadership and mentoring; Multi-format content creation; Multi-format copywriting; Performance measurement; Performance tracking; Project and performance management; Project management; SEO and analytics expertise; SEO optimization; SEO optimization and analytics; Strategic content planning; Strategic copywriting; Team leadership; Team leadership and collaboration; Time management
